region,statbel_building_type_code,dwelling_type,construction_period,source_profile_measure,source_profile_value,source_profile_share_within_type,target_2025_dwellings_archetype_type,regional_number_of_dwellings,joint_distribution_source,joint_distribution_method_detail,regionalisation_method,apartment_position_split_assumption
Flemish Region,R4,"Apartment, exposed",pre-1946,2021 conventional dwellings in RES2+RES3+,85002.5,0.155948146015,500307,78021.9490881,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, exposed",1946-1970,2021 conventional dwellings in RES2+RES3+,114509.5,0.210082576701,500307,105105.783702,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, exposed",1971-1990,2021 conventional dwellings in RES2+RES3+,116993.5,0.214639797897,500307,107385.793367,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, exposed",1991-2005,2021 conventional dwellings in RES2+RES3+,92354,0.169435429276,500307,84769.7313148,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Flemish Region,R4,"Apartment, exposed",post-2005,2021 conventional dwellings in RES2+RES3+,136209.5,0.249894050111,500307,125023.742529,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R1,Terraced house,pre-1946,2025 cadastral buildings,314483,0.74324250868,457796,340253.447503,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R1,Terraced house,1946-1970,2025 cadastral buildings,59139,0.139767868918,457796,63985.171319,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R1,Terraced house,1971-1990,2025 cadastral buildings,28295.3,0.066872516975,457796,30613.9707811,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R1,Terraced house,1991-2005,2025 cadastral buildings,7766.9,0.0183561281235,457796,8403.36203043,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R1,Terraced house,post-2005,2025 cadastral buildings,13438.8,0.0317609773045,457796,14540.0483661,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R2,Semi-detached house,pre-1946,2025 cadastral buildings,224609,0.588060186046,393702,231520.471367,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R2,Semi-detached house,1946-1970,2025 cadastral buildings,69372,0.181626342784,393702,71506.6544067,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R2,Semi-detached house,1971-1990,2025 cadastral buildings,41244.3,0.107983788412,393702,42513.4334652,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R2,Semi-detached house,1991-2005,2025 cadastral buildings,14829.9,0.0388269114463,393702,15286.2326902,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R2,Semi-detached house,post-2005,2025 cadastral buildings,31893.8,0.0835027713124,393702,32875.2080712,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R3,Detached house,pre-1946,2025 cadastral buildings,134032,0.256770710606,531885,136572.489411,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R3,Detached house,1946-1970,2025 cadastral buildings,88643,0.169817104126,531885,90323.1704282,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R3,Detached house,1971-1990,2025 cadastral buildings,134310.6,0.257304436283,531885,136856.370093,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R3,Detached house,1991-2005,2025 cadastral buildings,92546.2,0.177294627685,531885,94300.3530463,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R3,Detached house,post-2005,2025 cadastral buildings,72459.2,0.138813121299,531885,73832.6170221,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Walloon Region,R4,"Apartment, enclosed",pre-1946,2021 conventional dwellings in RES2+RES3+,104865.5,0.427095042601,171913,73423.1900587,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, enclosed",1946-1970,2021 conventional dwellings in RES2+RES3+,40807,0.166198295945,171913,28571.6476508,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, enclosed",1971-1990,2021 conventional dwellings in RES2+RES3+,39019,0.158916149422,171913,27319.7519957,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, enclosed",1991-2005,2021 conventional dwellings in RES2+RES3+,22159.5,0.090250965251,171913,15515.3141892,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, enclosed",post-2005,2021 conventional dwellings in RES2+RES3+,38681,0.15753954678,171913,27083.0961056,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, exposed",pre-1946,2021 conventional dwellings in RES2+RES3+,104865.5,0.427095042601,171913,73423.1900587,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, exposed",1946-1970,2021 conventional dwellings in RES2+RES3+,40807,0.166198295945,171913,28571.6476508,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, exposed",1971-1990,2021 conventional dwellings in RES2+RES3+,39019,0.158916149422,171913,27319.7519957,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, exposed",1991-2005,2021 conventional dwellings in RES2+RES3+,22159.5,0.090250965251,171913,15515.3141892,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Walloon Region,R4,"Apartment, exposed",post-2005,2021 conventional dwellings in RES2+RES3+,38681,0.15753954678,171913,27083.0961056,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R1,Terraced house,pre-1946,2025 cadastral buildings,78335,0.760762948072,177028,134676.343171,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R1,Terraced house,1946-1970,2025 cadastral buildings,19505,0.189425943731,177028,33533.6959667,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
